@relation seeds_dataset-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R1-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R2-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R3-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R3-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R4-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R5-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R6-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R7-precision6

@attribute area {below_14.12,14.12-17.65,above_17.65}
@attribute perimeter {below_14.023333,14.023333-15.636667,above_15.636667}
@attribute compactness {below_0.844833,0.844833-0.881567,above_0.881567}
@attribute kernel_length {below_5.491,5.491-6.083,above_6.083}
@attribute kernel_width {below_3.097667,3.097667-3.565333,above_3.565333}
@attribute asymmetry_coefficient {below_3.328733,3.328733-5.892367,above_5.892367}
@attribute kernel_groove_length {below_5.196,5.196-5.873,above_5.873}
@attribute class {Kama,Rosa,Canadian}

@data
14.12-17.65,14.023333-15.636667,0.844833-0.881567,5.491-6.083,3.097667-3.565333,below_3.328733,5.196-5.873,Kama
14.12-17.65,14.023333-15.636667,0.844833-0.881567,5.491-6.083,3.097667-3.565333,below_3.328733,below_5.196,Kama
14.12-17.65,14.023333-15.636667,above_0.881567,below_5.491,3.097667-3.565333,below_3.328733,below_5.196,Kama
below_14.12,below_14.023333,above_0.881567,below_5.491,3.097667-3.565333,below_3.328733,below_5.196,Kama
14.12-17.65,14.023333-15.636667,above_0.881567,5.491-6.083,3.097667-3.565333,below_3.328733,below_5.196,Kama
14.12-17.65,14.023333-15.636667,above_0.881567,below_5.491,3.097667-3.565333,below_3.328733,below_5.196,Kama
14.12-17.65,14.023333-15.636667,0.844833-0.881567,5.491-6.083,3.097667-3.565333,3.328733-5.892367,5.196-5.873,Kama
below_14.12,14.023333-15.636667,above_0.881567,below_5.491,3.097667-3.565333,below_3.328733,below_5.196,Kama
14.12-17.65,14.023333-15.636667,0.844833-0.881567,5.491-6.083,3.097667-3.565333,below_3.328733,above_5.873,Kama
14.12-17.65,14.023333-15.636667,above_0.881567,5.491-6.083,3.097667-3.565333,below_3.328733,5.196-5.873,Kama
14.12-17.65,14.023333-15.636667,0.844833-0.881567,5.491-6.083,3.097667-3.565333,3.328733-5.892367,5.196-5.873,Kama
below_14.12,14.023333-15.636667,0.844833-0.881567,below_5.491,3.097667-3.565333,below_3.328733,below_5.196,Kama
below_14.12,below_14.023333,above_0.881567,below_5.491,3.097667-3.565333,3.328733-5.892367,below_5.196,Kama
below_14.12,14.023333-15.636667,0.844833-0.881567,below_5.491,3.097667-3.565333,below_3.328733,below_5.196,Kama
below_14.12,14.023333-15.636667,0.844833-0.881567,below_5.491,3.097667-3.565333,below_3.328733,below_5.196,Kama
14.12-17.65,14.023333-15.636667,above_0.881567,below_5.491,3.097667-3.565333,3.328733-5.892367,below_5.196,Kama
below_14.12,below_14.023333,above_0.881567,below_5.491,3.097667-3.565333,3.328733-5.892367,below_5.196,Kama
14.12-17.65,14.023333-15.636667,above_0.881567,5.491-6.083,3.097667-3.565333,below_3.328733,below_5.196,Kama
14.12-17.65,14.023333-15.636667,above_0.881567,below_5.491,3.097667-3.565333,below_3.328733,below_5.196,Kama
below_14.12,below_14.023333,0.844833-0.881567,below_5.491,below_3.097667,3.328733-5.892367,below_5.196,Kama
14.12-17.65,14.023333-15.636667,0.844833-0.881567,5.491-6.083,3.097667-3.565333,below_3.328733,below_5.196,Kama
below_14.12,14.023333-15.636667,0.844833-0.881567,5.491-6.083,3.097667-3.565333,below_3.328733,5.196-5.873,Kama
14.12-17.65,14.023333-15.636667,above_0.881567,5.491-6.083,3.097667-3.565333,below_3.328733,below_5.196,Kama
below_14.12,below_14.023333,0.844833-0.881567,below_5.491,below_3.097667,below_3.328733,below_5.196,Kama
14.12-17.65,14.023333-15.636667,0.844833-0.881567,5.491-6.083,3.097667-3.565333,below_3.328733,below_5.196,Kama
